url_path,views_total,views_unique
/acqxi/FlirWithFaceDet,16,6
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,10,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats,9,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data,9,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data/proof,6,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.pdf,5,2
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/ghrs-data/views_clones_aggregate.csv,4,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report,4,1
/acqxi/FlirWithFaceDet/tree/main/thermal-pi,3,2
/acqxi/FlirWithFaceDet/tree/main/thermal-pi/01-flir,3,2
